,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
BALANCE,1,0.322412303,0.181260743,0.164349653,0.126469032,0.496691536,-0.077943737,0.073166086,-0.063185758,0.449218028,0.385152275,0.15433836,0.531324317,0.322801655,0.399642369,-0.318959197,0.072692264
BALANCE_FREQUENCY,0.322412303,1,0.133674437,0.104323224,0.124292181,0.099387999,0.229715473,0.202415321,0.176079399,0.191872683,0.141554866,0.189625938,0.096200342,0.065007865,0.140632002,-0.095082441,0.119775887
PURCHASES,0.181260743,0.133674437,1,0.916844559,0.67989622,-0.05147422,0.393017428,0.498429733,0.315566686,-0.120143192,-0.067175285,0.689560835,0.356993119,0.603263831,0.09699314,0.18037906,0.0862882
ONEOFF_PURCHASES,0.164349653,0.104323224,0.916844559,1,0.330621547,-0.0313257,0.264937303,0.524891083,0.127729103,-0.082627751,-0.046212154,0.545523285,0.31974342,0.567291618,0.051151034,0.132762769,0.064150023
INSTALLMENTS_PURCHASES,0.126469032,0.124292181,0.67989622,0.330621547,1,-0.064243681,0.442417681,0.214042432,0.511350828,-0.132318391,-0.07399918,0.628107538,0.256536965,0.384083789,0.135223337,0.182569359,0.086142877
CASH_ADVANCE,0.496691536,0.099387999,-0.05147422,-0.0313257,-0.064243681,1,-0.215507378,-0.086753995,-0.177069735,0.628522074,0.656497542,-0.075850181,0.304008828,0.453238129,0.141490773,-0.152935337,-0.068312443
PURCHASES_FREQUENCY,-0.077943737,0.229715473,0.393017428,0.264937303,0.442417681,-0.215507378,1,0.501343135,0.862933637,-0.308478475,-0.203477919,0.568429829,0.119936568,0.103464093,0.007943325,0.305802354,0.061505648
ONEOFF_PURCHASES_FREQUENCY,0.073166086,0.202415321,0.498429733,0.524891083,0.214042432,-0.086753995,0.501343135,1,0.142329183,-0.11171583,-0.069088433,0.544869304,0.295098993,0.24353699,-0.025791449,0.157530794,0.082466263
PURCHASES_INSTALLMENTS_FREQUENCY,-0.063185758,0.176079399,0.315566686,0.127729103,0.511350828,-0.177069735,0.862933637,0.142329183,1,-0.262958125,-0.169207415,0.52997467,0.060873689,0.085551264,0.033420843,0.250087452,0.07327545
CASH_ADVANCE_FREQUENCY,0.449218028,0.191872683,-0.120143192,-0.082627751,-0.132318391,0.628522074,-0.308478475,-0.11171583,-0.262958125,1,0.799560757,-0.131168456,0.132582951,0.183191665,0.102067225,-0.249773232,-0.133372337
CASH_ADVANCE_TRX,0.385152275,0.141554866,-0.067175285,-0.046212154,-0.07399918,0.656497542,-0.203477919,-0.069088433,-0.169207415,0.799560757,1,-0.066156694,0.149731911,0.255277671,0.112324342,-0.169784411,-0.043420637
PURCHASES_TRX,0.15433836,0.189625938,0.689560835,0.545523285,0.628107538,-0.075850181,0.568429829,0.544869304,0.52997467,-0.131168456,-0.066156694,1,0.272935415,0.370832258,0.100257127,0.162066242,0.121873943
CREDIT_LIMIT,0.531324317,0.096200342,0.356993119,0.31974342,0.256536965,0.304008828,0.119936568,0.295098993,0.060873689,0.132582951,0.149731911,0.272935415,1,0.421898737,0.127593917,0.055739073,0.139591608
PAYMENTS,0.322801655,0.065007865,0.603263831,0.567291618,0.384083789,0.453238129,0.103464093,0.24353699,0.085551264,0.183191665,0.255277671,0.370832258,0.421898737,1,0.131062396,0.112138323,0.106136299
MINIMUM_PAYMENTS,0.399642369,0.140632002,0.09699314,0.051151034,0.135223337,0.141490773,0.007943325,-0.025791449,0.033420843,0.102067225,0.112324342,0.100257127,0.127593917,0.131062396,1,-0.132551225,0.061508743
PRC_FULL_PAYMENT,-0.318959197,-0.095082441,0.18037906,0.132762769,0.182569359,-0.152935337,0.305802354,0.157530794,0.250087452,-0.249773232,-0.169784411,0.162066242,0.055739073,0.112138323,-0.132551225,1,-0.016485724
TENURE,0.072692264,0.119775887,0.0862882,0.064150023,0.086142877,-0.068312443,0.061505648,0.082466263,0.07327545,-0.133372337,-0.043420637,0.121873943,0.139591608,0.106136299,0.061508743,-0.016485724,1
